figure_id,file_index,relative_path,sha256,format,width,height,mode,frame_count,has_alpha,pixel_variance_mean,near_blank,extrema_json,visual_review_status,visual_review_notes
FIG-0011,675,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_carga_escalar_final.png,ea23c74daf790d65ce0a64a99676fb2930aeff79ef5959dc33ef60fe26a57f18,PNG,1440,990,RGBA,1,True,131.185439,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0012,676,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_estabilidad_E_Q.png,d4e06726ebddc5e1939698023f5dda32f694a3c02475a3896730c2502da57dad,PNG,1530,1044,RGBA,1,True,128.336391,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0013,677,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_estabilidad_M_R.png,3ae834e2890a359b15f64438a3ccf56865e9926e60c7e1472e84270f7ec062d3,PNG,1530,1044,RGBA,1,True,149.574738,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0014,678,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_estabilidad_Q_omega.png,2dcb803c0ff1e2ff6a8c679bd185c032d078a0436ef93d47949a2088248fb6db,PNG,1530,1044,RGBA,1,True,146.757038,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0015,679,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_estabilidad_dQdomega.png,384cdd1c40de5677eafa0e8595e415afbc74473b525e09f9ae3d400cc4e2a65d,PNG,1530,1044,RGBA,1,True,152.548038,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0016,680,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_estabilidad_termodinamica.png,d9455da5f17cf19b6084cfece8f2b057af105bb4d08317b0735b16dd0e7a3024,PNG,1530,1044,RGBA,1,True,190.064388,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0017,681,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_fundamental_compactacion.png,4c18aa8ff182e53719a117b508d6b774d52dd7c288297df333ffe2c599966963,PNG,1530,1044,RGBA,1,True,133.440771,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0018,682,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_fundamental_ligadura.png,0d2e830f09b474de8da69ffae7106d01d90fa2f23ff13ab1a37515a6d91e8b44,PNG,1530,1044,RGBA,1,True,149.283668,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0019,683,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_fundamental_masa_frecuencia.png,f1bd6d98b119c56d2130402e0766c1ea603d1c9401090dd35f6e7843df56f74a,PNG,1530,1044,RGBA,1,True,129.40916,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0020,684,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_fundamental_masa_radio.png,bd07994c927ffe294c2625ae5afbe62339377d778ffa928561896b0629b6bdfa,PNG,1530,1044,RGBA,1,True,116.792324,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0021,685,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_fundamental_perfiles.png,6848b9fa8dc0d48ab81cb4fba5d8039168f42d481617a00db50c0765a033eb5d,PNG,1620,1080,RGBA,1,True,171.806957,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0022,686,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_limite_ontologico_compactacion.png,586cfdbc62758128a81f117629f56f4b5305305611d7486d7cad23e9c3b1f497,PNG,1530,1044,RGBA,1,True,106.443756,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0023,687,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_limite_ontologico_frecuencia.png,559e06d0d29d0524aadc4c148d20aade9dcdadb1bccf0bbcaf1a19ba003bdf2d,PNG,1530,1044,RGBA,1,True,128.956428,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0024,688,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_limite_ontologico_masa.png,a9ccb58e22ca33fb81fbfe4752f502cc9d41c7cf91b13d6073da070f0901c90a,PNG,1530,1044,RGBA,1,True,132.612572,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0025,689,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_limite_ontologico_perfiles.png,82de2f1efd013f415ba65d10ce4eea3311c857213b51797ba96f3b8878a9e1a1,PNG,1620,1080,RGBA,1,True,106.55959,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0026,690,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_ontologico_continuacion_ligadura.png,900b687f051ca8109e984eaa7bfa10c17d4bd7652b9ab89a01c95c6775867b47,PNG,1440,990,RGBA,1,True,113.899966,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0027,691,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_ontologico_continuacion_perfiles.png,9a41143fa2eae66e06deb940eed1fd1d2edb9bf084cb7e3dc164e4a7e688033d,PNG,1620,1080,RGBA,1,True,120.553604,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0028,692,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_ontologico_energia_carga.png,83550531e747dba2188b0ba7f7a59a5141dfa5fae279388f678a849c465756e8,PNG,1440,990,RGBA,1,True,121.032912,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0029,693,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_ontologico_ligadura.png,7e3517fcae119babafb58f3f59d306cd6a3c0a43c665213b663ffe12a9301b82,PNG,1440,990,RGBA,1,True,108.991739,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0030,694,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_ontologico_perfiles.png,2b5901117cc28e2715672a8b01aa65e1f07242532176b11c69f2dbae11dd1f24,PNG,1620,1080,RGBA,1,True,149.392975,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_zero_or_hidden_series,Diez series declaradas en la leyenda; sólo una curva es claramente visible y las restantes parecen superpuestas en cero.
FIG-0031,695,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_perfiles_bvp.png,21d9f62be3705d4edf8c1865fda315d817151a0e1294de49840a4e382220b5e8,PNG,1620,1080,RGBA,1,True,89.274558,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_empty_plot,Ejes 0-1 y leyenda vacía; no hay datos visibles. Figura comunicativamente fallida aunque el PNG es íntegro.
FIG-0032,696,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_perfiles_no_lineales_final.png,c98d53ae593de23fc4c41bc995122c366a35e43953d1149f780c7e94fa5a5712,PNG,1620,1080,RGBA,1,True,152.331267,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0033,697,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_qball_energia_carga.png,d9df94108c6b2c131c671da0377aec3912dbe1234dd72a7a816970d3e7474283,PNG,1440,990,RGBA,1,True,176.376775,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0034,698,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_qball_perfiles.png,06a0529423a5a55e02255cfb9cef6814aee556865795d9356ffc8f2b3984830b,PNG,1620,1080,RGBA,1,True,152.418776,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0035,699,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_refinado_E_omega.png,e83c3a381af928bfd072dbd2219ad6e71ba945fcb66df40d85be790fd79e081e,PNG,1530,1044,RGBA,1,True,115.084181,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0036,700,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_refinado_Q_omega.png,474ce64d85c6fcdcc2d3fdebe7555e907f6b6d3eda79b7553db1297bee06f911,PNG,1530,1044,RGBA,1,True,117.440418,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0037,701,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_refinado_dQdomega.png,3cbfd6d9374c1e027879f87fa3def5b2e6d44ac9d3b90711bbfb15fdf64c518b,PNG,1530,1044,RGBA,1,True,103.647711,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0038,702,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_refinado_termodinamica.png,c7678e88d81c3ee583be5a3b984d08557f58e13b03599a060aafe201a6343f27,PNG,1530,1044,RGBA,1,True,123.997174,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0039,703,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_respuesta_central_final.png,04c9c49635d96f77bef7e089ccc7ecd2e60874ba301be21574e9ffee5c1abc87,PNG,1440,990,RGBA,1,True,139.213675,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0040,704,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_schwarzschild_compactacion_fit.png,f9efb9d6c6a58bf391d1f6123a3c29cbb8aa5561058776f580b4517ab1fe0cbe,PNG,1530,1044,RGBA,1,True,93.468062,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0041,705,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_schwarzschild_frecuencia_fit.png,1f76bb01da293c23a659364cfa94c993509620f47de481a223700f5c785c403a,PNG,1530,1044,RGBA,1,True,103.714979,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0042,706,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_schwarzschild_masa_fit.png,dc7e0d8979d9f772a6a0e155b646624038d8192bbad10fefc8152466d633c3f6,PNG,1530,1044,RGBA,1,True,87.312359,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0043,707,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_schwarzschild_perfiles.png,c11d8b8642c90cca309b52e0801937b267c963f182a1aaff7a269908a717b3c2,PNG,1620,1080,RGBA,1,True,101.735787,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0044,708,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_schwarzschild_radio_fit.png,06fe31dfb79b27c62824e819b4d1f4be4dbc8f9b796c8ce3564aa170669b645b,PNG,1530,1044,RGBA,1,True,91.983626,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0045,709,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_valor_central.png,fd4ab2b5da8f7de0e2c5cef0c9321dfb58c980621bcffea0c3722ef1081271e7,PNG,1440,990,RGBA,1,True,113.590497,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_reference_only,"Lienzo legible, pero sólo contiene una línea vertical de referencia; no se observa respuesta central."
FIG-0046,833,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/04_FIGURAS/FIG_01_BRECHA_VS_EPSILON.png,5cb19d3fc9ca890de8ebd2c510817b0535c878a3dc7da86efb24f61f71ec9ad1,PNG,1260,900,RGBA,1,True,142.736408,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0047,834,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/04_FIGURAS/FIG_02_MEZCLA_VS_EPSILON.png,59047ad0c50636b4fac50e9a49d3972033104263eb6aa04cd58e158b4813b60e,PNG,1260,900,RGBA,1,True,156.880648,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0048,851,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/04_FIGURAS/FIG_01_P_VS_INERCIA.png,357986a7b2443915153df457d6a8deff1616d6c786897d28c58c74d2238bd04c,PNG,1260,900,RGBA,1,True,166.165338,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0049,852,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/04_FIGURAS/FIG_02_INERCIA_DIRECCIONAL.png,91ea5be0147922fcd01fcf9863d96530ed5057fe6570b0c83f0a1cc01214c0bc,PNG,1260,900,RGBA,1,True,203.663459,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0050,853,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/04_FIGURAS/FIG_03_COARSE_GRAINING.png,89d45f2db3b1d08bb2639ac5111be30d07653a298dc4ec419a8dd51a46ee965e,PNG,1260,900,RGBA,1,True,2756.433038,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
