base_path,base_git_blob_sha,action,active_path,active_git_blob_sha,reason
research/PROGRAMA_ABIERTO.md,c036223fba7c07dd8d4dae57505dc433e0d45bbc,retained_exact,research/PROGRAMA_ABIERTO.md,c036223fba7c07dd8d4dae57505dc433e0d45bbc,Byte-identical retained file.
scripts/generate_delivery_figures.py,f2f52883a5887b402aed2c8c0666b07ce461a10b,updated_documentation_or_tooling,scripts/generate_delivery_figures.py,a7dd625d75513220a546862f0cf5b691fc3d465a,Updated to implement audited organization or labeling; scientific source content not promoted.
scripts/generate_figures.py,b26bd3db99358e7e37b8284096b85fd9fc5c786c,updated_documentation_or_tooling,scripts/generate_figures.py,9f29b532ec725d314fee24ecd06f58c9618d4b24,Updated to implement audited organization or labeling; scientific source content not promoted.
scripts/regenerate_deliveries_01_06.py,67ace4708b2e49f53312f77c1665906a629e95b9,excluded_history_only,,,Modern generator is not an audited primary source; recoverable from base commit.
src/omega_repro/__init__.py,3dc1f76bc69e3f559bee6253b24fc93acee9e1f9,retained_exact,src/omega_repro/__init__.py,3dc1f76bc69e3f559bee6253b24fc93acee9e1f9,Byte-identical retained file.
src/omega_repro/validate_core.py,6050e29a6c814e0af4bd3cafcc467fcfb0340dde,updated_documentation_or_tooling,src/omega_repro/validate_core.py,3b705955ea1b6e85201ebe1a5cc73e0e6e310283,Updated to implement audited organization or labeling; scientific source content not promoted.
src/omega_repro/validate_deliveries_01_17.py,e259b772f2381f96b72864a830b6ea7bc1929653,updated_documentation_or_tooling,src/omega_repro/validate_deliveries_01_17.py,0c1556ddc8882397d236ca45d63acf09f208c84f,Updated to implement audited organization or labeling; scientific source content not promoted.
tests/test_core.py,30f4f443dd7dc3f5caf974a1ae628ea635ff8015,retained_exact,tests/test_core.py,30f4f443dd7dc3f5caf974a1ae628ea635ff8015,Byte-identical retained file.
tests/test_deliveries_01_17.py,d19e6d6849470e8109ad98cf7fc2f46b734f47f3,retained_exact,tests/test_deliveries_01_17.py,d19e6d6849470e8109ad98cf7fc2f46b734f47f3,Byte-identical retained file.
tests/test_regenerate_01_06.py,0bcefb80f5b1a85b0b66ef1412d96da8b90fca18,excluded_history_only,,,Test applies only to excluded modern generator; recoverable from base commit.

